year,club,players,total value
2005,Bayern Munich,25,£154.35m
2005,SV Werder Bremen,28,£84.42m
2005,FC Schalke 04,32,£79.11m
2005,Bayer 04 Leverkusen,33,£72.56m
2005,VfB Stuttgart,30,£71.69m
2005,Hamburger SV,32,£66.24m
2005,Hertha BSC,30,£62.69m
2005,Borussia Dortmund,32,£60.93m
2005,VfL Wolfsburg,32,£59.45m
2005,Borussia Mönchengladbach,32,£45.23m
2005,1. FC Köln,36,£43.94m
2005,Hannover 96,29,£39.60m
2005,1.FC Nuremberg,32,£33.53m
2005,Eintracht Frankfurt,31,£23.04m
2005,1.FC Kaiserslautern,32,£20.90m
2005,MSV Duisburg,31,£20.25m
2005,Arminia Bielefeld,31,£19.53m
2005,1.FSV Mainz 05,30,£13.68m
2006,Bayern Munich,29,£150.28m
2006,SV Werder Bremen,33,£115.81m
2006,Hamburger SV,35,£104.78m
2006,FC Schalke 04,29,£78.68m
2006,Borussia Dortmund,31,£71.37m
2006,VfB Stuttgart,30,£58.16m
2006,VfL Wolfsburg,30,£57.65m
2006,Bayer 04 Leverkusen,28,£56.77m
2006,Hertha BSC,30,£52.09m
2006,Eintracht Frankfurt,29,£46.64m
2006,1.FC Nuremberg,31,£44.24m
2006,Borussia Mönchengladbach,35,£43.52m
2006,Hannover 96,31,£36.32m
2006,1.FSV Mainz 05,33,£32.27m
2006,VfL Bochum,31,£27.77m
2006,Arminia Bielefeld,30,£27.50m
2006,Alemannia Aachen,26,£21.56m
2006,FC Energie Cottbus,30,£15.77m
2007,Bayern Munich,28,£200.63m
2007,SV Werder Bremen,29,£116.12m
2007,VfB Stuttgart,34,£104.22m
2007,FC Schalke 04,30,£96.21m
2007,Hamburger SV,34,£85.28m
2007,Borussia Dortmund,33,£73.22m
2007,1.FC Nuremberg,31,£63.86m
2007,Bayer 04 Leverkusen,30,£60.94m
2007,Hannover 96,28,£55.31m
2007,VfL Wolfsburg,36,£51.71m
2007,Eintracht Frankfurt,33,£48.76m
2007,Hertha BSC,31,£43.83m
2007,VfL Bochum,30,£35.15m
2007,Arminia Bielefeld,32,£30.65m
2007,MSV Duisburg,37,£30.27m
2007,Karlsruher SC,27,£24.75m
2007,FC Hansa Rostock,28,£21.56m
2007,FC Energie Cottbus,36,£19.13m
2008,Bayern Munich,23,£215.01m
2008,SV Werder Bremen,34,£128.21m
2008,FC Schalke 04,29,£115.20m
2008,Hamburger SV,30,£99.27m
2008,Bayer 04 Leverkusen,26,£87.93m
2008,Borussia Dortmund,35,£84.76m
2008,VfB Stuttgart,27,£84.06m
2008,VfL Wolfsburg,31,£76.10m
2008,Hertha BSC,31,£67.32m
2008,Hannover 96,28,£58.91m
2008,Eintracht Frankfurt,30,£56.75m
2008,VfL Bochum,30,£41.22m
2008,TSG 1899 Hoffenheim,32,£39.78m
2008,Borussia Mönchengladbach,29,£36.23m
2008,Karlsruher SC,27,£34.97m
2008,1. FC Köln,29,£30.74m
2008,Arminia Bielefeld,27,£27.00m
2008,FC Energie Cottbus,34,£26.51m
2009,Bayern Munich,29,£254.93m
2009,VfL Wolfsburg,31,£140.29m
2009,Hamburger SV,35,£131.33m
2009,SV Werder Bremen,38,£120.60m
2009,VfB Stuttgart,34,£112.50m
2009,FC Schalke 04,40,£102.20m
2009,Bayer 04 Leverkusen,30,£98.15m
2009,TSG 1899 Hoffenheim,33,£81.56m
2009,Borussia Dortmund,34,£72.41m
2009,Hertha BSC,33,£68.49m
2009,1. FC Köln,33,£65.00m
2009,Hannover 96,39,£60.19m
2009,Eintracht Frankfurt,36,£55.80m
2009,Borussia Mönchengladbach,30,£41.22m
2009,VfL Bochum,32,£40.10m
2009,1.FC Nuremberg,32,£37.87m
2009,1.FSV Mainz 05,41,£36.41m
2009,SC Freiburg,32,£28.42m
2010,Bayern Munich,31,£256.05m
2010,VfL Wolfsburg,34,£189.65m
2010,Bayer 04 Leverkusen,30,£131.99m
2010,SV Werder Bremen,38,£131.90m
2010,FC Schalke 04,36,£125.69m
2010,Hamburger SV,30,£119.00m
2010,Borussia Dortmund,31,£103.19m
2010,VfB Stuttgart,33,£95.99m
2010,TSG 1899 Hoffenheim,34,£88.52m
2010,Borussia Mönchengladbach,34,£62.37m
2010,1. FC Köln,38,£56.23m
2010,Eintracht Frankfurt,31,£50.94m
2010,1.FSV Mainz 05,28,£41.00m
2010,Hannover 96,28,£40.16m
2010,SC Freiburg,32,£38.52m
2010,1.FC Nuremberg,32,£35.08m
2010,1.FC Kaiserslautern,30,£33.50m
2010,FC St. Pauli,30,£26.91m
2011,Bayern Munich,24,£302.04m
2011,Borussia Dortmund,28,£142.38m
2011,Bayer 04 Leverkusen,29,£135.99m
2011,FC Schalke 04,37,£123.05m
2011,SV Werder Bremen,38,£112.82m
2011,VfL Wolfsburg,44,£109.80m
2011,Hamburger SV,36,£92.88m
2011,VfB Stuttgart,32,£91.69m
2011,TSG 1899 Hoffenheim,34,£84.24m
2011,1. FC Köln,31,£62.36m
2011,Hannover 96,31,£61.97m
2011,Borussia Mönchengladbach,28,£53.17m
2011,SC Freiburg,34,£51.66m
2011,1.FSV Mainz 05,30,£49.59m
2011,Hertha BSC,30,£45.32m
2011,1.FC Kaiserslautern,36,£45.05m
2011,1.FC Nuremberg,30,£38.86m
2011,FC Augsburg,32,£31.48m
2012,Bayern Munich,28,£366.57m
2012,Borussia Dortmund,29,£204.91m
2012,FC Schalke 04,28,£153.90m
2012,VfL Wolfsburg,34,£108.29m
2012,Bayer 04 Leverkusen,32,£104.31m
2012,Hamburger SV,28,£99.54m
2012,VfB Stuttgart,32,£91.82m
2012,Hannover 96,32,£79.20m
2012,TSG 1899 Hoffenheim,42,£76.52m
2012,Borussia Mönchengladbach,27,£72.90m
2012,SV Werder Bremen,32,£71.28m
2012,Eintracht Frankfurt,31,£46.08m
2012,1.FSV Mainz 05,31,£45.86m
2012,FC Augsburg,31,£42.30m
2012,SC Freiburg,31,£40.91m
2012,1.FC Nuremberg,30,£38.39m
2012,SpVgg Greuther Fürth,37,£30.67m
2012,Fortuna Düsseldorf,34,£28.58m
2013,Bayern Munich,30,£435.58m
2013,Borussia Dortmund,31,£256.64m
2013,FC Schalke 04,33,£168.26m
2013,Bayer 04 Leverkusen,33,£127.67m
2013,VfL Wolfsburg,35,£121.25m
2013,Hamburger SV,33,£100.53m
2013,VfB Stuttgart,32,£90.88m
2013,Borussia Mönchengladbach,28,£85.30m
2013,Eintracht Frankfurt,33,£76.43m
2013,Hannover 96,35,£75.20m
2013,TSG 1899 Hoffenheim,43,£69.37m
2013,SV Werder Bremen,38,£67.01m
2013,SC Freiburg,34,£59.96m
2013,1.FC Nuremberg,32,£43.99m
2013,Hertha BSC,32,£41.36m
2013,1.FSV Mainz 05,31,£40.86m
2013,FC Augsburg,34,£39.15m
2013,Eintracht Braunschweig,32,£26.64m
2014,Bayern Munich,33,£507.76m
2014,Borussia Dortmund,37,£296.82m
2014,FC Schalke 04,36,£192.04m
2014,VfL Wolfsburg,30,£158.51m
2014,Bayer 04 Leverkusen,26,£149.90m
2014,Hamburger SV,38,£103.46m
2014,Borussia Mönchengladbach,27,£96.59m
2014,TSG 1899 Hoffenheim,30,£90.02m
2014,VfB Stuttgart,30,£88.11m
2014,Hannover 96,35,£70.25m
2014,1.FSV Mainz 05,36,£69.21m
2014,Hertha BSC,30,£68.83m
2014,Eintracht Frankfurt,30,£66.58m
2014,SV Werder Bremen,36,£52.72m
2014,SC Freiburg,30,£51.21m
2014,1. FC Köln,27,£38.99m
2014,FC Augsburg,35,£38.18m
2014,SC Paderborn 07,28,£20.21m
2015,Bayern Munich,34,£547.65m
2015,Borussia Dortmund,30,£280.44m
2015,VfL Wolfsburg,35,£238.88m
2015,FC Schalke 04,32,£188.42m
2015,Bayer 04 Leverkusen,33,£180.68m
2015,Borussia Mönchengladbach,29,£125.60m
2015,TSG 1899 Hoffenheim,31,£100.26m
2015,Eintracht Frankfurt,35,£78.75m
2015,VfB Stuttgart,34,£74.34m
2015,Hamburger SV,35,£66.67m
2015,Hannover 96,39,£66.22m
2015,Hertha BSC,34,£65.59m
2015,1.FSV Mainz 05,39,£60.80m
2015,FC Augsburg,39,£56.25m
2015,SV Werder Bremen,39,£53.55m
2015,1. FC Köln,25,£46.85m
2015,FC Ingolstadt 04,29,£21.94m
2015,SV Darmstadt 98,30,£17.82m
2016,Bayern Munich,33,£535.86m
2016,Borussia Dortmund,31,£288.95m
2016,Bayer 04 Leverkusen,39,£220.12m
2016,FC Schalke 04,39,£214.88m
