year,club,players,total value
2005,Olympique Lyon,27,£123.77m
2005,AS Monaco,35,£106.20m
2005,Paris Saint-Germain,31,£68.36m
2005,Olympique Marseille,40,£67.82m
2005,Stade Rennais FC,34,£59.67m
2005,FC Girondins Bordeaux,28,£50.76m
2005,RC Lens,27,£47.07m
2005,AJ Auxerre,35,£45.86m
2005,LOSC Lille,32,£43.61m
2005,AS Saint-Étienne,28,£38.97m
2005,FC Nantes,32,£38.07m
2005,FC Toulouse,29,£38.03m
2005,FC Sochaux-Montbéliard,35,£37.44m
2005,FC Metz,41,£35.19m
2005,RC Strasbourg Alsace,31,£32.04m
2005,OGC Nice,28,£31.41m
2005,AC Ajaccio,32,£19.62m
2005,ES Troyes AC,32,£12.17m
2005,Le Mans Union Club 72,29,£11.16m
2005,AS Nancy-Lorraine,29,£1.94m
2006,Olympique Lyon,31,£167.20m
2006,Paris Saint-Germain,29,£90.79m
2006,Olympique Marseille,30,£79.00m
2006,AS Monaco,31,£77.63m
2006,FC Girondins Bordeaux,33,£75.29m
2006,LOSC Lille,29,£60.08m
2006,RC Lens,28,£58.77m
2006,Stade Rennais FC,29,£57.85m
2006,AS Saint-Étienne,27,£51.48m
2006,AJ Auxerre,35,£50.22m
2006,FC Nantes,33,£46.40m
2006,FC Sochaux-Montbéliard,31,£40.39m
2006,OGC Nice,27,£35.06m
2006,FC Toulouse,28,£32.81m
2006,AS Nancy-Lorraine,33,£30.92m
2006,Le Mans Union Club 72,29,£30.60m
2006,ES Troyes AC,30,£25.11m
2006,CS Sedan-Ardennes,27,£16.07m
2006,Valenciennes FC ,26,£11.39m
2006,FC Lorient,32,£11.34m
2007,Olympique Lyon,31,£163.53m
2007,Olympique Marseille,34,£109.89m
2007,AS Monaco,31,£78.89m
2007,RC Lens,32,£77.54m
2007,FC Girondins Bordeaux,30,£66.15m
2007,LOSC Lille,35,£63.99m
2007,Paris Saint-Germain,30,£63.14m
2007,Stade Rennais FC,33,£61.88m
2007,AS Saint-Étienne,23,£53.24m
2007,FC Toulouse,29,£45.38m
2007,AJ Auxerre,31,£45.09m
2007,FC Sochaux-Montbéliard,31,£40.07m
2007,Le Mans Union Club 72,30,£37.22m
2007,OGC Nice,29,£35.82m
2007,AS Nancy-Lorraine,27,£33.12m
2007,Valenciennes FC ,24,£23.03m
2007,SM Caen,28,£21.83m
2007,FC Lorient,30,£20.99m
2007,RC Strasbourg Alsace,32,£20.16m
2007,FC Metz,39,£17.78m
2008,Olympique Lyon,33,£187.56m
2008,Olympique Marseille,26,£106.83m
2008,FC Girondins Bordeaux,24,£88.92m
2008,AS Saint-Étienne,28,£77.09m
2008,Paris Saint-Germain,25,£67.50m
2008,LOSC Lille,29,£54.95m
2008,Stade Rennais FC,30,£54.54m
2008,AS Nancy-Lorraine,24,£47.88m
2008,AJ Auxerre,28,£47.30m
2008,AS Monaco,32,£43.97m
2008,OGC Nice,27,£42.08m
2008,FC Toulouse,26,£40.10m
2008,FC Lorient,28,£39.56m
2008,Valenciennes FC ,23,£39.38m
2008,FC Sochaux-Montbéliard,27,£33.57m
2008,FC Nantes,26,£32.76m
2008,AC Le Havre,38,£28.62m
2008,SM Caen,24,£28.13m
2008,Le Mans Union Club 72,27,£27.68m
2008,Grenoble Foot 38,33,£24.30m
2009,Olympique Lyon,37,£158.27m
2009,Olympique Marseille,32,£143.10m
2009,FC Girondins Bordeaux,29,£110.70m
2009,Paris Saint-Germain,27,£82.94m
2009,LOSC Lille,32,£74.07m
2009,AS Saint-Étienne,32,£72.81m
2009,Stade Rennais FC,31,£70.34m
2009,AS Monaco,37,£68.27m
2009,FC Toulouse,35,£62.15m
2009,OGC Nice,31,£50.94m
2009,AS Nancy-Lorraine,31,£48.87m
2009,AJ Auxerre,33,£46.80m
2009,Le Mans Union Club 72,39,£46.62m
2009,Valenciennes FC ,32,£43.58m
2009,FC Lorient,30,£38.43m
2009,RC Lens,32,£37.22m
2009,FC Sochaux-Montbéliard,31,£36.36m
2009,Grenoble Foot 38,34,£32.31m
2009,HSC Montpellier,33,£28.40m
2009,US Boulogne,33,£26.15m
2010,Olympique Lyon,29,£189.27m
2010,Olympique Marseille,34,£161.96m
2010,FC Girondins Bordeaux,35,£131.76m
2010,Paris Saint-Germain,29,£96.08m
2010,LOSC Lille,28,£91.13m
2010,AS Monaco,38,£84.83m
2010,Stade Rennais FC,33,£80.10m
2010,FC Toulouse,32,£72.61m
2010,AS Saint-Étienne,32,£64.67m
2010,OGC Nice,36,£57.60m
2010,AJ Auxerre,40,£55.94m
2010,AS Nancy-Lorraine,30,£52.83m
2010,Valenciennes FC ,37,£48.17m
2010,FC Lorient,31,£44.87m
2010,RC Lens,39,£43.18m
2010,HSC Montpellier,32,£43.18m
2010,FC Sochaux-Montbéliard,30,£39.83m
2010,Athlétic Club Arlésien,37,£25.38m
2010,Stade Brest 29,31,£22.01m
2010,SM Caen,30,£21.69m
2011,Paris Saint-Germain,35,£200.79m
2011,Olympique Lyon,39,£153.90m
2011,Olympique Marseille,31,£144.72m
2011,LOSC Lille,29,£119.66m
2011,Stade Rennais FC,31,£82.31m
2011,FC Girondins Bordeaux,30,£80.01m
2011,AS Saint-Étienne,35,£69.08m
2011,FC Toulouse,33,£66.83m
2011,FC Sochaux-Montbéliard,34,£50.45m
2011,AS Nancy-Lorraine,37,£49.01m
2011,OGC Nice,33,£45.72m
2011,FC Lorient,35,£43.97m
2011,HSC Montpellier,30,£43.83m
2011,Valenciennes FC ,35,£42.53m
2011,AJ Auxerre,41,£42.17m
2011,Stade Brest 29,33,£36.77m
2011,FC Évian Thonon Gaillard,32,£31.46m
2011,AC Ajaccio,32,£24.35m
2011,SM Caen,28,£24.08m
2011,FCO Dijon,33,£21.87m
2012,Paris Saint-Germain,33,£299.57m
2012,Olympique Lyon,42,£140.31m
2012,Olympique Marseille,36,£132.26m
2012,LOSC Lille,27,£94.68m
2012,Stade Rennais FC,32,£88.74m
2012,HSC Montpellier,32,£75.06m
2012,AS Saint-Étienne,30,£74.61m
2012,FC Girondins Bordeaux,30,£70.90m
2012,FC Toulouse,28,£66.20m
2012,FC Lorient,34,£51.75m
2012,Valenciennes FC ,31,£43.34m
2012,FC Sochaux-Montbéliard,33,£43.29m
2012,OGC Nice,36,£37.76m
2012,FC Évian Thonon Gaillard,32,£35.73m
2012,AC Ajaccio,31,£34.92m
2012,Stade Brest 29,35,£34.07m
2012,AS Nancy-Lorraine,33,£29.97m
2012,SC Bastia,32,£29.43m
2012,Stade Reims,29,£20.21m
2012,ES Troyes AC,30,£17.96m
2013,Paris Saint-Germain,32,£333.81m
2013,AS Monaco,44,£210.78m
2013,Olympique Marseille,33,£126.14m
2013,Olympique Lyon,36,£101.03m
2013,AS Saint-Étienne,34,£95.13m
2013,Stade Rennais FC,39,£91.04m
2013,LOSC Lille,31,£67.68m
2013,FC Girondins Bordeaux,35,£57.02m
2013,FC Toulouse,39,£54.81m
2013,FC Sochaux-Montbéliard,44,£53.73m
2013,OGC Nice,39,£51.12m
2013,HSC Montpellier,31,£51.12m
2013,FC Lorient,37,£48.33m
2013,Valenciennes FC ,32,£36.41m
2013,SC Bastia,33,£35.78m
2013,FC Évian Thonon Gaillard,35,£32.36m
2013,Stade Reims,34,£30.06m
2013,AC Ajaccio,37,£27.92m
2013,FC Nantes,33,£25.90m
2013,EA Guingamp,30,£16.38m
2014,Paris Saint-Germain,32,£347.40m
2014,AS Monaco,34,£175.28m
2014,Olympique Marseille,34,£130.10m
2014,Olympique Lyon,31,£83.57m
2014,AS Saint-Étienne,31,£76.32m
2014,LOSC Lille,31,£68.00m
2014,FC Girondins Bordeaux,39,£56.84m
2014,Stade Rennais FC,30,£55.35m
2014,FC Lorient,39,£47.03m
2014,FC Toulouse,36,£46.40m
2014,OGC Nice,37,£44.01m
2014,Stade Reims,32,£38.03m
2014,HSC Montpellier,36,£37.17m
2014,FC Évian Thonon Gaillard,33,£34.34m
2014,SC Bastia,41,£28.58m
2014,FC Nantes,30,£28.08m
2014,EA Guingamp,31,£26.17m
2014,FC Metz,32,£19.35m
2014,SM Caen,27,£17.28m
2014,RC Lens,29,£12.38m
2015,Paris Saint-Germain,35,£389.97m
2015,Olympique Lyon,33,£154.31m
2015,AS Monaco,39,£137.48m
2015,Olympique Marseille,38,£129.47m
2015,AS Saint-Étienne,40,£86.00m
2015,FC Girondins Bordeaux,42,£72.72m
2015,Stade Rennais FC,38,£71.12m
2015,LOSC Lille,34,£59.04m
2015,OGC Nice,35,£44.73m
2015,FC Lorient,35,£44.42m
2015,HSC Montpellier,32,£42.08m
2015,Stade Reims,35,£40.95m
2015,FC Toulouse,32,£36.72m
2015,FC Nantes,32,£33.44m
2015,EA Guingamp,31,£28.17m
2015,SM Caen,30,£25.43m
2015,ES Troyes AC,37,£24.26m
2015,SC Bastia,31,£18.77m
2015,SCO Angers,34,£18.54m
2015,GFC Ajaccio,30,£12.51m
2016,Paris Saint-Germain,39,£451.85m
2016,AS Monaco,47,£171.41m
2016,Olympique Lyon,34,£161.28m
2016,Olympique Marseille,33,£98.46m
2016,AS Saint-Étienne,42,£76.86m
2016,FC Girondins Bordeaux,36,£72.50m
2016,LOSC Lille,46,£66.94m
2016,Stade Rennais FC,43,£66.15m
2016,OGC Nice,39,£59.27m
2016,FC Lorient,41,£44.69m
2016,FC Toulouse,38,£44.28m
2016,FC Nantes,30,£36.41m
2016,HSC Montpellier,35,£32.54m
2016,SC Bastia,37,£31.55m
2016,SM Caen,36,£30.96m
2016,SCO Angers,36,£30.83m
2016,EA Guingamp,35,£29.88m
2016,FC Metz,39,£24.01m
2016,FCO Dijon,33,£18.90m
2016,AS Nancy-Lorraine,30,£18.81m
2017,Paris Saint-Germain,25,£714.60m
2017,AS Monaco,26,£315.36m
2017,Olympique Lyon,29,£313.56m
2017,Olympique Marseille,28,£201.87m
2017,OGC Nice,27,£156.56m
2017,FC Girondins Bordeaux,28,£132.80m
2017,Stade Rennais FC,25,£110.25m
2017,FC Toulouse,26,£98.60m
2017,FC Nantes,31,£90.09m
2017,AS Saint-Étienne,26,£81.63m
2017,LOSC Lille,28,£75.65m
2017,HSC Montpellier,25,£62.01m
2017,FCO Dijon,26,£60.17m
2017,SCO Angers,26,£56.12m
2017,SM Caen,29,£52.43m
2017,EA Guingamp,27,£45.68m
2017,ES Troyes AC,27,£39.74m
2017,SC Amiens,30,£39.33m
2017,RC Strasbourg Alsace,25,£38.66m
2017,FC Metz,33,£34.97m
