year,club,players,total value
2005,Colorado Rapids,30,£4.41m
2005,Columbus Crew SC,32,£3.92m
2005,Los Angeles Galaxy,26,£3.74m
2005,FC Dallas,26,£2.79m
2005,D.C. United,27,£2.25m
2005,New York Red Bulls,22,£1.67m
2005,Kansas City Wizards,27,£1.62m
2005,Chicago Fire,27,£1.44m
2005,Real Salt Lake City,31,£990k
2005,New England Revolution,25,£900k
2005,CD Chivas USA,28,£45k
2006,Columbus Crew SC,47,£9.14m
2006,Colorado Rapids,28,£6.26m
2006,Kansas City Wizards,27,£5.63m
2006,Los Angeles Galaxy,32,£4.91m
2006,D.C. United,31,£4.55m
2006,Toronto FC,31,£4.50m
2006,New York Red Bulls,31,£4.37m
2006,FC Dallas,28,£3.40m
2006,New England Revolution,25,£2.93m
2006,CD Chivas USA,29,£2.88m
2006,Real Salt Lake City,29,£2.52m
2006,Chicago Fire,26,£1.76m
2006,Houston Dynamo,25,£1.71m
2007,Los Angeles Galaxy,34,£24.32m
2007,New York Red Bulls,32,£15.84m
2007,FC Dallas,33,£9.83m
2007,Toronto FC,35,£6.62m
2007,San Jose Earthquakes,33,£6.59m
2007,Columbus Crew SC,33,£5.63m
2007,Chicago Fire,34,£4.95m
2007,Real Salt Lake City,39,£4.34m
2007,Colorado Rapids,32,£4.14m
2007,New England Revolution,23,£2.93m
2007,D.C. United,26,£2.70m
2007,Kansas City Wizards,27,£2.66m
2007,CD Chivas USA,30,£2.63m
2007,Houston Dynamo,31,£1.26m
2008,Los Angeles Galaxy,46,£18.09m
2008,Toronto FC,40,£7.79m
2008,Seattle Sounders FC,27,£7.04m
2008,FC Dallas,39,£6.77m
2008,D.C. United,39,£6.55m
2008,Kansas City Wizards,31,£5.60m
2008,New England Revolution,35,£5.24m
2008,Chicago Fire,34,£5.22m
2008,New York Red Bulls,32,£5.18m
2008,San Jose Earthquakes,29,£5.16m
2008,Real Salt Lake City,31,£4.75m
2008,Columbus Crew SC,28,£4.64m
2008,CD Chivas USA,34,£3.58m
2008,Colorado Rapids,36,£2.77m
2008,Houston Dynamo,24,£2.00m
2009,Los Angeles Galaxy,26,£16.18m
2009,Toronto FC,34,£9.99m
2009,Kansas City Wizards,34,£7.83m
2009,New York Red Bulls,33,£6.55m
2009,Columbus Crew SC,28,£5.94m
2009,San Jose Earthquakes,26,£5.04m
2009,Houston Dynamo,32,£4.97m
2009,D.C. United,43,£4.95m
2009,Colorado Rapids,24,£4.61m
2009,Chicago Fire,31,£4.21m
2009,New England Revolution,32,£4.16m
2009,CD Chivas USA,32,£3.98m
2009,Real Salt Lake City,28,£3.83m
2009,Philadelphia Union,22,£3.76m
2009,FC Dallas,23,£3.29m
2009,Seattle Sounders FC,28,£2.72m
2010,New York Red Bulls,47,£31.52m
2010,Los Angeles Galaxy,42,£29.43m
2010,Toronto FC,57,£17.42m
2010,Vancouver Whitecaps,49,£12.76m
2010,CD Chivas USA,45,£12.76m
2010,New England Revolution,42,£11.43m
2010,Seattle Sounders FC,38,£10.31m
2010,San Jose Earthquakes,41,£9.59m
2010,Columbus Crew SC,49,£9.50m
2010,Chicago Fire,46,£9.23m
2010,Sporting Kansas City,35,£8.99m
2010,Philadelphia Union,33,£8.89m
2010,Houston Dynamo,37,£8.60m
2010,D.C. United,32,£7.74m
2010,Colorado Rapids,32,£6.75m
2010,FC Dallas,39,£6.64m
2010,Portland Timbers,43,£6.03m
2010,Real Salt Lake City,34,£5.36m
2011,New York Red Bulls,43,£31.25m
2011,Los Angeles Galaxy,46,£21.85m
2011,Montreal Impact,31,£18.68m
2011,Vancouver Whitecaps,32,£17.46m
2011,Seattle Sounders FC,44,£15.71m
2011,Colorado Rapids,47,£12.78m
2011,Chicago Fire,33,£12.26m
2011,Toronto FC,43,£12.17m
2011,Portland Timbers,39,£10.94m
2011,New England Revolution,35,£10.76m
