year,club,players,total value
2005,Chelsea FC,27,£316.96m
2005,Manchester United,29,£258.23m
2005,Arsenal FC,33,£197.06m
2005,Liverpool FC,32,£168.66m
2005,Tottenham Hotspur,30,£130.95m
2005,Newcastle United,25,£127.08m
2005,Everton FC,29,£98.80m
2005,Aston Villa,29,£90.74m
2005,Birmingham City,33,£85.84m
2005,Middlesbrough FC,35,£85.16m
2005,Portsmouth FC,35,£81.68m
2005,Manchester City,31,£68.76m
2005,Charlton Athletic,36,£67.48m
2005,Fulham FC,31,£63.81m
2005,Blackburn Rovers,27,£63.63m
2005,Bolton Wanderers,28,£59.31m
2005,West Bromwich Albion,31,£49.55m
2005,West Ham United,26,£38.16m
2005,Wigan Athletic,28,£32.58m
2005,Sunderland AFC,28,£29.30m
2006,Chelsea FC,37,£363.49m
2006,Manchester United,33,£205.92m
2006,Liverpool FC,34,£200.25m
2006,Arsenal FC,35,£199.26m
2006,Tottenham Hotspur,37,£150.17m
2006,Newcastle United,30,£139.68m
2006,Aston Villa,31,£84.67m
2006,West Ham United,33,£84.26m
2006,Everton FC,25,£82.77m
2006,Middlesbrough FC,32,£79.61m
2006,Manchester City,29,£78.89m
2006,Portsmouth FC,26,£70.56m
2006,Fulham FC,34,£69.62m
2006,Charlton Athletic,36,£67.19m
2006,Blackburn Rovers,29,£65.12m
2006,Bolton Wanderers,34,£55.94m
2006,Wigan Athletic,29,£48.55m
2006,Sheffield United,36,£23.76m
2006,Reading FC,34,£21.15m
2006,Watford FC,41,£16.88m
2007,Chelsea FC,37,£380.84m
2007,Manchester United,33,£286.56m
2007,Liverpool FC,40,£232.56m
2007,Arsenal FC,32,£191.18m
2007,Tottenham Hotspur,34,£174.76m
2007,Newcastle United,29,£118.17m
2007,Everton FC,29,£100.71m
2007,West Ham United,33,£95.63m
2007,Portsmouth FC,28,£86.85m
2007,Manchester City,30,£80.28m
2007,Middlesbrough FC,30,£77.46m
2007,Aston Villa,24,£75.51m
2007,Fulham FC,38,£67.24m
2007,Bolton Wanderers,30,£59.07m
2007,Blackburn Rovers,37,£58.68m
2007,Birmingham City,26,£58.01m
2007,Wigan Athletic,29,£52.70m
2007,Derby County,41,£45.51m
2007,Sunderland AFC,42,£45.38m
