year,club,players,total value
2005,Juventus FC,31,£285.21m
2005,AC Milan,26,£253.13m
2005,FC Internazionale,33,£212.99m
2005,AS Roma,32,£158.63m
2005,ACF Fiorentina,32,£104.96m
2005,US Palermo,40,£74.68m
2005,Parma FC,35,£67.86m
2005,SS Lazio,35,£58.66m
2005,Udinese Calcio,37,£52.38m
2005,UC Sampdoria,36,£46.26m
2005,AS Livorno,29,£33.96m
2005,Chievo Verona,30,£32.94m
2005,FC Messina Peloro,36,£31.32m
2005,US Lecce,35,£30.96m
2005,AC Siena,29,£30.24m
2005,Reggina Calcio,34,£28.13m
2005,ACD Treviso,38,£25.29m
2005,FC Empoli,29,£22.37m
2005,Cagliari Calcio,26,£22.32m
2005,Ascoli Calcio 1898,40,£15.41m
2006,FC Internazionale,38,£242.15m
2006,AC Milan,30,£230.72m
2006,AS Roma,31,£182.43m
2006,ACF Fiorentina,30,£120.92m
2006,SS Lazio,33,£75.60m
2006,US Palermo,33,£72.27m
2006,Udinese Calcio,43,£64.62m
2006,AS Livorno,33,£55.31m
2006,Chievo Verona,39,£47.00m
2006,UC Sampdoria,37,£42.89m
2006,Torino FC,33,£39.15m
2006,Cagliari Calcio,33,£30.65m
2006,Parma FC,33,£30.11m
2006,Atalanta BC,33,£28.58m
2006,AC Siena,34,£28.44m
2006,FC Messina Peloro,35,£24.05m
2006,Reggina Calcio,32,£21.96m
2006,Ascoli Calcio 1898,38,£16.45m
2006,FC Empoli,33,£16.25m
2006,Calcio Catania,33,£14.76m
2007,AC Milan,31,£252.81m
2007,FC Internazionale,38,£245.34m
2007,AS Roma,32,£199.08m
2007,Juventus FC,34,£196.70m
2007,ACF Fiorentina,31,£127.15m
2007,US Palermo,31,£99.38m
2007,SS Lazio,35,£88.34m
2007,Udinese Calcio,34,£75.20m
2007,Torino FC,38,£65.57m
2007,UC Sampdoria,32,£59.63m
2007,AS Livorno,32,£56.43m
2007,Parma FC,34,£47.70m
2007,SSC Napoli,30,£42.66m
2007,Atalanta BC,34,£42.44m
2007,Calcio Catania,31,£34.83m
2007,Genoa CFC,33,£33.62m
2007,FC Empoli,28,£32.94m
2007,AC Siena,33,£31.95m
2007,Reggina Calcio,38,£31.34m
2007,Cagliari Calcio,41,£24.03m
2008,AC Milan,32,£314.78m
2008,FC Internazionale,30,£301.32m
2008,Juventus FC,33,£218.43m
2008,AS Roma,35,£214.70m
2008,ACF Fiorentina,32,£162.63m
2008,US Palermo,34,£98.10m
2008,Udinese Calcio,29,£92.07m
2008,SS Lazio,32,£91.67m
2008,SSC Napoli,30,£81.90m
2008,Genoa CFC,40,£80.69m
2008,UC Sampdoria,34,£76.91m
2008,Torino FC,32,£62.24m
2008,Atalanta BC,36,£46.04m
2008,Calcio Catania,33,£43.56m
2008,Chievo Verona,34,£34.63m
2008,Bologna FC 1909,33,£31.55m
2008,US Lecce,33,£30.33m
2008,Reggina Calcio,33,£30.20m
2008,AC Siena,33,£30.15m
2008,Cagliari Calcio,33,£29.81m
2009,FC Internazionale,34,£326.88m
2009,AC Milan,35,£262.49m
2009,Juventus FC,34,£256.23m
2009,AS Roma,33,£246.56m
2009,ACF Fiorentina,40,£177.98m
2009,SSC Napoli,31,£115.11m
2009,Genoa CFC,41,£114.21m
2009,SS Lazio,42,£108.50m
2009,Udinese Calcio,37,£104.58m
2009,US Palermo,34,£82.26m
2009,UC Sampdoria,33,£81.74m
2009,Parma FC,35,£61.43m
2009,Atalanta BC,34,£60.55m
2009,Bologna FC 1909,35,£57.92m
2009,Calcio Catania,32,£46.89m
2009,AS Livorno,39,£45.43m
2009,Cagliari Calcio,34,£39.89m
2009,AC Siena,37,£38.30m
2009,AS Bari,34,£34.94m
2009,Chievo Verona,29,£32.27m
2010,FC Internazionale,38,£350.91m
2010,Juventus FC,44,£292.75m
2010,AC Milan,37,£291.83m
2010,AS Roma,33,£225.41m
2010,ACF Fiorentina,40,£186.59m
2010,Genoa CFC,40,£142.38m
2010,SSC Napoli,28,£127.49m
2010,UC Sampdoria,42,£115.70m
2010,SS Lazio,35,£102.44m
2010,Udinese Calcio,34,£100.91m
2010,Parma FC,35,£90.63m
2010,US Palermo,39,£78.84m
2010,Cagliari Calcio,36,£63.74m
2010,Calcio Catania,34,£61.79m
2010,AC Cesena,37,£57.11m
2010,AS Bari,39,£56.14m
2010,Chievo Verona,36,£46.94m
2010,Brescia Calcio,37,£43.02m
2010,Bologna FC 1909,36,£40.41m
2010,US Lecce,35,£31.95m
2011,FC Internazionale,36,£338.13m
2011,AC Milan,38,£260.73m
2011,Juventus FC,28,£246.96m
2011,AS Roma,33,£164.23m
2011,SSC Napoli,29,£164.16m
2011,ACF Fiorentina,32,£149.36m
2011,Genoa CFC,33,£116.57m
2011,SS Lazio,40,£106.74m
2011,US Palermo,36,£106.18m
2011,Udinese Calcio,35,£97.11m
2011,Parma FC,34,£79.09m
2011,Cagliari Calcio,33,£60.89m
2011,Bologna FC 1909,33,£56.30m
2011,AC Cesena,41,£56.12m
2011,Calcio Catania,37,£54.00m
2011,Atalanta BC,33,£51.50m
2011,Chievo Verona,35,£45.29m
2011,AC Siena,32,£38.59m
2011,US Lecce,36,£32.99m
2011,Novara Calcio 1908,35,£29.25m
2012,Juventus FC,38,£270.50m
2012,AC Milan,40,£243.63m
2012,FC Internazionale,49,£237.96m
2012,SSC Napoli,32,£202.86m
2012,ACF Fiorentina,38,£151.97m
2012,AS Roma,29,£134.37m
2012,SS Lazio,42,£112.84m
2012,Genoa CFC,46,£106.56m
2012,Udinese Calcio,39,£93.08m
2012,US Palermo,46,£78.05m
2012,Atalanta BC,42,£67.77m
2012,Parma FC,40,£65.25m
2012,UC Sampdoria,33,£61.20m
2012,Bologna FC 1909,44,£60.39m
2012,Cagliari Calcio,33,£58.48m
2012,Chievo Verona,44,£51.73m
2012,Torino FC,35,£47.86m
2012,Calcio Catania,36,£47.39m
2012,AC Siena,45,£45.38m
2012,Delfino Pescara 1936,48,£40.41m
2013,Juventus FC,45,£361.85m
2013,AC Milan,41,£262.22m
2013,FC Internazionale,50,£245.52m
2013,SSC Napoli,32,£209.23m
2013,ACF Fiorentina,51,£200.34m
2013,AS Roma,58,£193.10m
2013,SS Lazio,52,£145.19m
2013,Udinese Calcio,60,£108.14m
2013,Genoa CFC,64,£93.85m
2013,Calcio Catania,48,£79.43m
2013,Parma FC,39,£78.35m
2013,US Sassuolo,52,£74.79m
2013,UC Sampdoria,58,£74.41m
2013,Cagliari Calcio,35,£72.36m
2013,Chievo Verona,69,£66.80m
2013,Atalanta BC,59,£64.85m
2013,Bologna FC 1909,62,£57.35m
2013,Torino FC,41,£54.56m
2013,AS Livorno,47,£52.18m
2013,Hellas Verona,54,£51.35m
2014,Juventus FC,34,£321.03m
2014,AC Milan,46,£273.35m
2014,Inter Milan,41,£265.61m
2014,SSC Napoli,29,£234.77m
2014,AS Roma,39,£234.16m
2014,ACF Fiorentina,41,£210.98m
2014,SS Lazio,36,£133.83m
2014,UC Sampdoria,41,£103.61m
2014,Genoa CFC,42,£98.87m
2014,Udinese Calcio,44,£87.14m
2014,Parma FC,50,£84.60m
2014,US Sassuolo,40,£79.61m
2014,Atalanta BC,40,£69.80m
2014,Chievo Verona,38,£60.80m
2014,Torino FC,42,£59.72m
2014,Cagliari Calcio,35,£57.44m
2014,US Palermo,36,£43.70m
2014,Hellas Verona,38,£41.20m
2014,FC Empoli,38,£32.06m
2014,AC Cesena,37,£32.04m
2015,Juventus FC,35,£354.89m
2015,AS Roma,44,£286.16m
2015,Inter Milan,41,£265.41m
2015,SSC Napoli,30,£226.98m
2015,AC Milan,36,£209.54m
2015,SS Lazio,37,£153.74m
2015,ACF Fiorentina,34,£151.52m
2015,UC Sampdoria,40,£121.37m
2015,Genoa CFC,46,£112.46m
2015,Udinese Calcio,40,£86.76m
2015,Bologna FC 1909,41,£73.60m
2015,Torino FC,33,£73.51m
2015,US Sassuolo,35,£69.57m
2015,Atalanta BC,40,£67.88m
2015,Carpi FC 1909,41,£59.22m
2015,US Palermo,40,£56.30m
2015,Hellas Verona,42,£52.85m
2015,Chievo Verona,35,£39.62m
2015,Frosinone Calcio,32,£38.39m
2015,FC Empoli,38,£34.00m
2016,Juventus FC,85,£417.40m
2016,Inter Milan,72,£316.94m
2016,AS Roma,73,£287.62m
2016,SSC Napoli,51,£279.59m
2016,AC Milan,44,£202.66m
2016,ACF Fiorentina,55,£175.66m
2016,SS Lazio,53,£153.56m
2016,Torino FC,61,£135.25m
2016,Udinese Calcio,59,£108.45m
2016,Genoa CFC,69,£102.02m
2016,US Sassuolo,53,£96.35m
2016,UC Sampdoria,59,£89.42m
2016,Atalanta BC,87,£82.71m
2016,Bologna FC 1909,55,£73.78m
2016,FC Empoli,53,£59.49m
2016,Cagliari Calcio,45,£56.86m
2016,Chievo Verona,74,£50.83m
2016,US Palermo,53,£44.01m
2016,Delfino Pescara 1936,67,£42.77m
2016,FC Crotone,44,£22.70m
2017,Juventus FC,25,£561.51m
2017,SSC Napoli,25,£415.62m
